"experiment","subject","response","ground_truth","trial","sequence","streak","repetition"
"Exp1a",1,"probability",50,1,"[0,1,1,1,0,1,0,0]",2,51
"Exp1a",1,"probability",50,2,"[1,1,0,0,0,0,1,1]",2,50
"Exp1a",1,"probability",50,3,"[1,0,1,0,1,0,0,0]",3,35
"Exp1a",1,"probability",50,4,"[0,0,0,1,1,0,0,1]",1,65
"Exp1a",1,"probability",50,5,"[1,0,0,0,0,0,0,1]",1,76
"Exp1a",1,"probability",50,6,"[1,1,0,1,1,1,1,0]",1,77
"Exp1a",1,"probability",50,7,"[1,0,0,0,0,1,0,1]",1,69
"Exp1a",1,"probability",50,8,"[1,1,0,0,0,1,1,1]",3,33
"Exp1a",1,"probability",50,9,"[1,0,0,1,1,0,1,0]",1,50
"Exp1a",1,"probability",50,10,"[1,0,1,1,0,0,0,1]",1,50
"Exp1a",1,"probability",50,11,"[0,0,0,1,0,0,0,1]",1,78
"Exp1a",1,"probability",50,12,"[0,0,1,0,0,0,1,0]",1,22
"Exp1a",1,"probability",50,13,"[0,1,0,1,1,0,1,1]",2,35
"Exp1a",1,"probability",50,14,"[1,0,0,1,0,1,1,1]",3,36
"Exp1a",1,"probability",50,15,"[1,0,0,0,0,1,0,1]",1,64
"Exp1a",1,"probability",50,16,"[0,0,0,0,0,1,1,1]",3,63
"Exp1a",1,"probability",50,17,"[0,0,0,0,0,0,1,0]",1,13
"Exp1a",1,"probability",50,18,"[0,0,1,1,0,1,0,1]",1,50
"Exp1a",2,"probability",50,1,"[1,1,1,1,1,0,0,0]",3,60
"Exp1a",2,"probability",50,2,"[1,0,0,0,0,0,1,1]",2,55
"Exp1a",2,"probability",50,3,"[0,0,1,0,0,1,1,0]",1,44
"Exp1a",2,"probability",50,4,"[0,1,0,0,1,0,1,1]",2,50
"Exp1a",2,"probability",50,5,"[0,0,0,1,0,0,0,1]",1,60
"Exp1a",2,"probability",50,6,"[1,1,0,1,0,0,1,0]",1,51
"Exp1a",2,"probability",50,7,"[1,0,0,1,0,1,0,1]",1,48
"Exp1a",2,"probability",50,8,"[1,0,0,1,1,0,0,0]",3,43
"Exp1a",2,"probability",50,9,"[1,0,0,0,0,0,0,1]",1,62
"Exp1a",2,"probability",50,10,"[1,1,0,1,0,0,1,1]",2,45
"Exp1a",2,"probability",50,11,"[1,1,1,0,0,1,0,1]",1,46
"Exp1a",2,"probability",50,12,"[0,1,0,1,0,0,0,0]",4,37
"Exp1a",2,"probability",50,13,"[1,1,1,0,1,0,0,1]",1,44
"Exp1a",2,"probability",50,14,"[1,1,0,1,1,0,1,0]",1,54
"Exp1a",2,"probability",50,15,"[0,1,0,0,0,1,0,1]",1,56
"Exp1a",2,"probability",50,16,"[1,0,0,1,1,1,0,0]",2,50
"Exp1a",2,"probability",50,17,"[1,1,1,1,1,1,1,1]",8,41
"Exp1a",2,"probability",50,18,"[1,1,0,1,1,1,0,0]",2,55
"Exp1a",3,"probability",50,1,"[0,1,0,1,0,1,0,0]",2,23
"Exp1a",3,"probability",50,2,"[1,1,0,1,1,1,0,0]",2,40
"Exp1a",3,"probability",50,3,"[1,1,1,1,1,0,1,0]",1,55
"Exp1a",3,"probability",50,4,"[0,1,1,1,0,1,0,0]",2,17
"Exp1a",3,"probability",50,5,"[1,1,0,0,1,0,0,1]",1,75
"Exp1a",3,"probability",50,6,"[0,1,0,0,1,1,0,0]",2,43
"Exp1a",3,"probability",50,7,"[0,1,1,1,1,1,0,0]",2,30
"Exp1a",3,"probability",50,8,"[1,0,1,0,1,1,1,1]",4,25
"Exp1a",3,"probability",50,9,"[0,0,1,1,0,1,1,0]",1,42
"Exp1a",3,"probability",50,10,"[0,0,1,0,1,0,0,1]",1,74
"Exp1a",3,"probability",50,11,"[1,1,0,0,1,1,1,1]",4,25
"Exp1a",3,"probability",50,12,"[0,1,0,0,1,1,1,1]",4,30
"Exp1a",3,"probability",50,13,"[0,1,0,0,1,1,1,1]",4,26
"Exp1a",3,"probability",50,14,"[0,0,1,1,1,1,0,1]",1,25
"Exp1a",3,"probability",50,15,"[1,0,1,1,1,1,1,1]",6,14
"Exp1a",3,"probability",50,16,"[0,0,0,1,0,1,0,0]",2,18
"Exp1a",3,"probability",50,17,"[0,0,1,0,0,0,1,0]",1,18
"Exp1a",3,"probability",50,18,"[1,1,1,0,1,1,1,0]",1,82
