study,participant_id,generator,rate,trial,sequence,type,terminal_streak_length,prediction_raw,prediction_recode
2A,1,analyst,50,1,00001101,filler,1,51,51
2A,1,analyst,50,2,00111111,target,6,37,37
2A,1,analyst,50,3,11010010,filler,1,53,47
2A,1,analyst,50,4,01000101,filler,1,72,72
2A,1,analyst,50,5,01111111,target,7,30,30
2A,1,analyst,50,6,11001101,filler,1,60,60
2A,1,analyst,50,7,01010101,filler,1,52,52
2A,1,analyst,50,8,00110101,filler,1,52,52
2A,1,analyst,50,9,00100000,target,5,72,28
2A,1,analyst,50,10,11000110,filler,1,36,64
2A,1,analyst,50,11,01010000,target,4,71,29
2A,1,analyst,50,12,11111010,filler,1,24,76
2A,1,analyst,50,13,10001010,filler,1,59,41
2A,1,analyst,50,14,11011001,filler,1,51,51
2A,1,analyst,50,15,10000001,filler,1,80,80
2A,1,analyst,50,16,01011000,target,3,51,49
2A,1,analyst,50,17,01001011,target,2,53,53
2A,1,analyst,50,18,10101010,filler,1,54,46
2A,2,analyst,50,1,01000001,filler,1,17,17
2A,2,analyst,50,2,00100000,target,5,8,92
2A,2,analyst,50,3,00001101,filler,1,43,43
2A,2,analyst,50,4,01001011,target,2,48,48
2A,2,analyst,50,5,11101010,filler,1,37,63
2A,2,analyst,50,6,01110010,filler,1,32,68
2A,2,analyst,50,7,01011110,filler,1,66,34
2A,2,analyst,50,8,11110010,filler,1,67,33
2A,2,analyst,50,9,00101111,target,4,80,80
2A,2,analyst,50,10,00110110,filler,1,71,29
2A,2,analyst,50,11,01101010,filler,1,44,56
2A,2,analyst,50,12,01111111,target,7,85,85
2A,2,analyst,50,13,00111111,target,6,57,57
2A,2,analyst,50,14,11000110,filler,1,54,46
2A,2,analyst,50,15,11011001,filler,1,38,38
2A,2,analyst,50,16,10100110,filler,1,34,66
2A,2,analyst,50,17,01010111,target,3,46,46
2A,2,analyst,50,18,01010010,filler,1,29,71
2A,3,analyst,50,1,11110010,filler,1,52,48
2A,3,analyst,50,2,01010100,target,2,52,48
2A,3,analyst,50,3,01011110,filler,1,51,49
2A,3,analyst,50,4,10101010,filler,1,52,48
2A,3,analyst,50,5,11011001,filler,1,52,52
