"experiment","subject","response","ground_truth","trial","sequence","streak","repetition"
"Exp3",1,"probability",50,1,"[1,1,1,1,1,0,1,0]",1,15
"Exp3",1,"probability",50,2,"[0,1,0,1,1,1,0,1]",1,67
"Exp3",1,"probability",50,3,"[0,0,1,0,1,1,1,1]",4,82
"Exp3",1,"probability",50,4,"[0,0,1,1,0,1,0,1]",1,49
"Exp3",1,"probability",50,5,"[0,1,1,1,1,1,1,1]",7,88
"Exp3",1,"probability",50,6,"[1,1,0,0,1,1,0,1]",1,80
"Exp3",1,"probability",50,7,"[1,0,1,0,1,0,0,0]",3,72
"Exp3",1,"probability",50,8,"[1,0,1,1,0,1,0,0]",2,48
"Exp3",1,"probability",50,9,"[0,0,1,0,0,0,0,0]",5,92
"Exp3",1,"probability",50,10,"[1,0,1,0,1,0,1,0]",1,0
"Exp3",1,"probability",50,11,"[0,1,0,0,0,0,0,1]",1,0
"Exp3",1,"probability",50,12,"[1,0,0,0,0,0,0,1]",1,18
"Exp3",1,"probability",50,13,"[1,0,0,0,0,1,0,1]",1,37
"Exp3",1,"probability",50,14,"[0,1,0,1,0,1,0,1]",1,0
"Exp3",1,"probability",50,15,"[0,1,0,1,0,0,1,0]",1,0
"Exp3",1,"probability",50,16,"[0,1,1,0,1,0,1,0]",1,50
"Exp3",1,"probability",50,17,"[1,1,0,0,0,0,0,0]",6,78
"Exp3",1,"probability",50,18,"[0,1,0,1,1,1,1,0]",1,31
"Exp3",2,"probability",50,1,"[1,1,0,1,1,0,0,1]",1,50
"Exp3",2,"probability",50,2,"[1,1,1,1,1,0,1,0]",1,49
"Exp3",2,"probability",50,3,"[0,1,0,1,0,1,1,1]",3,50
"Exp3",2,"probability",50,4,"[1,0,0,0,0,0,0,1]",1,49
"Exp3",2,"probability",50,5,"[1,1,0,0,0,1,1,0]",1,51
"Exp3",2,"probability",50,6,"[1,1,0,0,1,1,0,1]",1,49
"Exp3",2,"probability",50,7,"[0,1,0,1,1,1,1,0]",1,50
"Exp3",2,"probability",50,8,"[0,1,0,0,1,0,1,1]",2,50
"Exp3",2,"probability",50,9,"[0,1,1,1,0,0,1,0]",1,50
